scenario_id,factor_id,stressed_value
SP-008,RATE-EUR-OIS-120M,0.00981752
SP-008,RATE-EUR-OIS-180M,0.01027522
SP-008,RATE-EUR-OIS-240M,0.01065916
SP-008,RATE-EUR-OIS-360M,0.01130047
SP-008,RATE-EUR-GOVT-001M,0.00988289
SP-008,RATE-EUR-GOVT-002M,0.00997210
SP-008,RATE-EUR-GOVT-003M,0.01003971
SP-008,RATE-EUR-GOVT-005M,0.01014508
SP-008,RATE-EUR-GOVT-007M,0.01022921
SP-008,RATE-EUR-GOVT-010M,0.01033370
SP-008,RATE-EUR-GOVT-015M,0.01047516
SP-008,RATE-EUR-GOVT-020M,0.01059283
SP-008,RATE-EUR-GOVT-030M,0.01078782
SP-008,RATE-EUR-GOVT-060M,0.01122065
SP-008,RATE-EUR-GOVT-090M,0.01154845
SP-008,RATE-EUR-GOVT-120M,0.01182292
SP-008,RATE-EUR-GOVT-180M,0.01228062
SP-008,RATE-EUR-GOVT-240M,0.01266456
SP-008,RATE-EUR-GOVT-360M,0.01330587
SP-008,RATE-EUR-SWAP-001M,0.01188829
SP-008,RATE-EUR-SWAP-002M,0.01197750
SP-008,RATE-EUR-SWAP-003M,0.01204511
SP-008,RATE-EUR-SWAP-005M,0.01215048
SP-008,RATE-EUR-SWAP-007M,0.01223461
SP-008,RATE-EUR-SWAP-010M,0.01233910
SP-008,RATE-EUR-SWAP-015M,0.01248056
SP-008,RATE-EUR-SWAP-020M,0.01259823
SP-008,RATE-EUR-SWAP-030M,0.01279322
SP-008,RATE-EUR-SWAP-060M,0.01322605
SP-008,RATE-EUR-SWAP-090M,0.01355385
SP-008,RATE-EUR-SWAP-120M,0.01382832
SP-008,RATE-EUR-SWAP-180M,0.01428602
SP-008,RATE-EUR-SWAP-240M,0.01466996
SP-008,RATE-EUR-SWAP-360M,0.01531127
SP-008,RATE-EUR-INFLATION-001M,0.01389369
SP-008,RATE-EUR-INFLATION-002M,0.01398290
SP-008,RATE-EUR-INFLATION-003M,0.01405051
SP-008,RATE-EUR-INFLATION-005M,0.01415588
SP-008,RATE-EUR-INFLATION-007M,0.01424001
SP-008,RATE-EUR-INFLATION-010M,0.01434450
SP-008,RATE-EUR-INFLATION-015M,0.01448596
SP-008,RATE-EUR-INFLATION-020M,0.01460363
SP-008,RATE-EUR-INFLATION-030M,0.01479862
SP-008,RATE-EUR-INFLATION-060M,0.01523145
SP-008,RATE-EUR-INFLATION-090M,0.01555925
SP-008,RATE-EUR-INFLATION-120M,0.01583372
SP-008,RATE-EUR-INFLATION-180M,0.01629142
SP-008,RATE-EUR-INFLATION-240M,0.01667536
SP-008,RATE-EUR-INFLATION-360M,0.01731667
SP-008,RATE-GBP-OIS-001M,0.00937749
SP-008,RATE-GBP-OIS-002M,0.00946670
SP-008,RATE-GBP-OIS-003M,0.00953431
SP-008,RATE-GBP-OIS-005M,0.00963968
SP-008,RATE-GBP-OIS-007M,0.00972381
SP-008,RATE-GBP-OIS-010M,0.00982830
SP-008,RATE-GBP-OIS-015M,0.00996976
SP-008,RATE-GBP-OIS-020M,0.01008743
SP-008,RATE-GBP-OIS-030M,0.01028242
SP-008,RATE-GBP-OIS-060M,0.01071525
SP-008,RATE-GBP-OIS-090M,0.01104305
SP-008,RATE-GBP-OIS-120M,0.01131752
SP-008,RATE-GBP-OIS-180M,0.01177522
SP-008,RATE-GBP-OIS-240M,0.01215916
SP-008,RATE-GBP-OIS-360M,0.01280047
SP-008,RATE-GBP-GOVT-001M,0.01138289
SP-008,RATE-GBP-GOVT-002M,0.01147210
SP-008,RATE-GBP-GOVT-003M,0.01153971
SP-008,RATE-GBP-GOVT-005M,0.01164508
SP-008,RATE-GBP-GOVT-007M,0.01172921
SP-008,RATE-GBP-GOVT-010M,0.01183370
SP-008,RATE-GBP-GOVT-015M,0.01197516
SP-008,RATE-GBP-GOVT-020M,0.01209283
SP-008,RATE-GBP-GOVT-030M,0.01228782
SP-008,RATE-GBP-GOVT-060M,0.01272065
SP-008,RATE-GBP-GOVT-090M,0.01304845
SP-008,RATE-GBP-GOVT-120M,0.01332292
SP-008,RATE-GBP-GOVT-180M,0.01378062
SP-008,RATE-GBP-GOVT-240M,0.01416456
SP-008,RATE-GBP-GOVT-360M,0.01480587
SP-008,RATE-GBP-SWAP-001M,0.01338829
SP-008,RATE-GBP-SWAP-002M,0.01347750
SP-008,RATE-GBP-SWAP-003M,0.01354511
SP-008,RATE-GBP-SWAP-005M,0.01365048
SP-008,RATE-GBP-SWAP-007M,0.01373461
SP-008,RATE-GBP-SWAP-010M,0.01383910
SP-008,RATE-GBP-SWAP-015M,0.01398056
SP-008,RATE-GBP-SWAP-020M,0.01409823
SP-008,RATE-GBP-SWAP-030M,0.01429322
SP-008,RATE-GBP-SWAP-060M,0.01472605
SP-008,RATE-GBP-SWAP-090M,0.01505385
SP-008,RATE-GBP-SWAP-120M,0.01532832
SP-008,RATE-GBP-SWAP-180M,0.01578602
SP-008,RATE-GBP-SWAP-240M,0.01616996
SP-008,RATE-GBP-SWAP-360M,0.01681127
SP-008,RATE-GBP-INFLATION-001M,0.01539369
SP-008,RATE-GBP-INFLATION-002M,0.01548290
SP-008,RATE-GBP-INFLATION-003M,0.01555051
SP-008,RATE-GBP-INFLATION-005M,0.01565588
SP-008,RATE-GBP-INFLATION-007M,0.01574001
SP-008,RATE-GBP-INFLATION-010M,0.01584450
SP-008,RATE-GBP-INFLATION-015M,0.01598596
SP-008,RATE-GBP-INFLATION-020M,0.01610363
SP-008,RATE-GBP-INFLATION-030M,0.01629862
SP-008,RATE-GBP-INFLATION-060M,0.01673145
SP-008,RATE-GBP-INFLATION-090M,0.01705925
SP-008,RATE-GBP-INFLATION-120M,0.01733372
SP-008,RATE-GBP-INFLATION-180M,0.01779142
SP-008,RATE-GBP-INFLATION-240M,0.01817536
SP-008,RATE-GBP-INFLATION-360M,0.01881667
SP-008,RATE-JPY-OIS-001M,0.01087749
SP-008,RATE-JPY-OIS-002M,0.01096670
SP-008,RATE-JPY-OIS-003M,0.01103431
SP-008,RATE-JPY-OIS-005M,0.01113968
SP-008,RATE-JPY-OIS-007M,0.01122381
SP-008,RATE-JPY-OIS-010M,0.01132830
SP-008,RATE-JPY-OIS-015M,0.01146976
SP-008,RATE-JPY-OIS-020M,0.01158743
SP-008,RATE-JPY-OIS-030M,0.01178242
SP-008,RATE-JPY-OIS-060M,0.01221525
SP-008,RATE-JPY-OIS-090M,0.01254305
SP-008,RATE-JPY-OIS-120M,0.01281752
SP-008,RATE-JPY-OIS-180M,0.01327522
SP-008,RATE-JPY-OIS-240M,0.01365916
SP-008,RATE-JPY-OIS-360M,0.01430047
SP-008,RATE-JPY-GOVT-001M,0.01288289
SP-008,RATE-JPY-GOVT-002M,0.01297210
SP-008,RATE-JPY-GOVT-003M,0.01303971
SP-008,RATE-JPY-GOVT-005M,0.01314508
SP-008,RATE-JPY-GOVT-007M,0.01322921
SP-008,RATE-JPY-GOVT-010M,0.01333370
SP-008,RATE-JPY-GOVT-015M,0.01347516
SP-008,RATE-JPY-GOVT-020M,0.01359283
SP-008,RATE-JPY-GOVT-030M,0.01378782
SP-008,RATE-JPY-GOVT-060M,0.01422065
SP-008,RATE-JPY-GOVT-090M,0.01454845
SP-008,RATE-JPY-GOVT-120M,0.01482292
SP-008,RATE-JPY-GOVT-180M,0.01528062
SP-008,RATE-JPY-GOVT-240M,0.01566456
SP-008,RATE-JPY-GOVT-360M,0.01630587
SP-008,RATE-JPY-SWAP-001M,0.01488829
SP-008,RATE-JPY-SWAP-002M,0.01497750
SP-008,RATE-JPY-SWAP-003M,0.01504511
SP-008,RATE-JPY-SWAP-005M,0.01515048
SP-008,RATE-JPY-SWAP-007M,0.01523461
SP-008,RATE-JPY-SWAP-010M,0.01533910
SP-008,RATE-JPY-SWAP-015M,0.01548056
SP-008,RATE-JPY-SWAP-020M,0.01559823
SP-008,RATE-JPY-SWAP-030M,0.01579322
SP-008,RATE-JPY-SWAP-060M,0.01622605
SP-008,RATE-JPY-SWAP-090M,0.01655385
SP-008,RATE-JPY-SWAP-120M,0.01682832
SP-008,RATE-JPY-SWAP-180M,0.01728602
SP-008,RATE-JPY-SWAP-240M,0.01766996
SP-008,RATE-JPY-SWAP-360M,0.01831127
SP-008,RATE-JPY-INFLATION-001M,0.01689369
SP-008,RATE-JPY-INFLATION-002M,0.01698290
SP-008,RATE-JPY-INFLATION-003M,0.01705051
SP-008,RATE-JPY-INFLATION-005M,0.01715588
SP-008,RATE-JPY-INFLATION-007M,0.01724001
SP-008,RATE-JPY-INFLATION-010M,0.01734450
SP-008,RATE-JPY-INFLATION-015M,0.01748596
SP-008,RATE-JPY-INFLATION-020M,0.01760363
SP-008,RATE-JPY-INFLATION-030M,0.01779862
SP-008,RATE-JPY-INFLATION-060M,0.01823145
SP-008,RATE-JPY-INFLATION-090M,0.01855925
SP-008,RATE-JPY-INFLATION-120M,0.01883372
SP-008,RATE-JPY-INFLATION-180M,0.01929142
SP-008,RATE-JPY-INFLATION-240M,0.01967536
SP-008,RATE-JPY-INFLATION-360M,0.02031667
SP-008,RATE-CHF-OIS-001M,0.01237749
SP-008,RATE-CHF-OIS-002M,0.01246670
SP-008,RATE-CHF-OIS-003M,0.01253431
SP-008,RATE-CHF-OIS-005M,0.01263968
SP-008,RATE-CHF-OIS-007M,0.01272381
SP-008,RATE-CHF-OIS-010M,0.01282830
SP-008,RATE-CHF-OIS-015M,0.01296976
SP-008,RATE-CHF-OIS-020M,0.01308743
SP-008,RATE-CHF-OIS-030M,0.01328242
SP-008,RATE-CHF-OIS-060M,0.01371525
SP-008,RATE-CHF-OIS-090M,0.01404305
SP-008,RATE-CHF-OIS-120M,0.01431752
SP-008,RATE-CHF-OIS-180M,0.01477522
SP-008,RATE-CHF-OIS-240M,0.01515916
SP-008,RATE-CHF-OIS-360M,0.01580047
SP-008,RATE-CHF-GOVT-001M,0.01438289
SP-008,RATE-CHF-GOVT-002M,0.01447210
SP-008,RATE-CHF-GOVT-003M,0.01453971
SP-008,RATE-CHF-GOVT-005M,0.01464508
SP-008,RATE-CHF-GOVT-007M,0.01472921
SP-008,RATE-CHF-GOVT-010M,0.01483370
SP-008,RATE-CHF-GOVT-015M,0.01497516
SP-008,RATE-CHF-GOVT-020M,0.01509283
SP-008,RATE-CHF-GOVT-030M,0.01528782
SP-008,RATE-CHF-GOVT-060M,0.01572065
SP-008,RATE-CHF-GOVT-090M,0.01604845
SP-008,RATE-CHF-GOVT-120M,0.01632292
SP-008,RATE-CHF-GOVT-180M,0.01678062
SP-008,RATE-CHF-GOVT-240M,0.01716456
SP-008,RATE-CHF-GOVT-360M,0.01780587
SP-008,RATE-CHF-SWAP-001M,0.01638829
SP-008,RATE-CHF-SWAP-002M,0.01647750
SP-008,RATE-CHF-SWAP-003M,0.01654511
SP-008,RATE-CHF-SWAP-005M,0.01665048
SP-008,RATE-CHF-SWAP-007M,0.01673461
SP-008,RATE-CHF-SWAP-010M,0.01683910
SP-008,RATE-CHF-SWAP-015M,0.01698056
SP-008,RATE-CHF-SWAP-020M,0.01709823
SP-008,RATE-CHF-SWAP-030M,0.01729322
SP-008,RATE-CHF-SWAP-060M,0.01772605
SP-008,RATE-CHF-SWAP-090M,0.01805385
SP-008,RATE-CHF-SWAP-120M,0.01832832
SP-008,RATE-CHF-SWAP-180M,0.01878602
SP-008,RATE-CHF-SWAP-240M,0.01916996
SP-008,RATE-CHF-SWAP-360M,0.01981127
SP-008,RATE-CHF-INFLATION-001M,0.01839369
SP-008,RATE-CHF-INFLATION-002M,0.01848290
SP-008,RATE-CHF-INFLATION-003M,0.01855051
SP-008,RATE-CHF-INFLATION-005M,0.01865588
SP-008,RATE-CHF-INFLATION-007M,0.01874001
SP-008,RATE-CHF-INFLATION-010M,0.01884450
SP-008,RATE-CHF-INFLATION-015M,0.01898596
SP-008,RATE-CHF-INFLATION-020M,0.01910363
SP-008,RATE-CHF-INFLATION-030M,0.01929862
SP-008,RATE-CHF-INFLATION-060M,0.01973145
SP-008,RATE-CHF-INFLATION-090M,0.02005925
SP-008,RATE-CHF-INFLATION-120M,0.02033372
SP-008,RATE-CHF-INFLATION-180M,0.02079142
SP-008,RATE-CHF-INFLATION-240M,0.02117536
SP-008,RATE-CHF-INFLATION-360M,0.02181667
SP-008,RATE-CAD-OIS-001M,0.01387749
SP-008,RATE-CAD-OIS-002M,0.01396670
SP-008,RATE-CAD-OIS-003M,0.01403431
SP-008,RATE-CAD-OIS-005M,0.01413968
SP-008,RATE-CAD-OIS-007M,0.01422381
SP-008,RATE-CAD-OIS-010M,0.01432830
SP-008,RATE-CAD-OIS-015M,0.01446976
SP-008,RATE-CAD-OIS-020M,0.01458743
SP-008,RATE-CAD-OIS-030M,0.01478242
SP-008,RATE-CAD-OIS-060M,0.01521525
SP-008,RATE-CAD-OIS-090M,0.01554305
SP-008,RATE-CAD-OIS-120M,0.01581752
SP-008,RATE-CAD-OIS-180M,0.01627522
SP-008,RATE-CAD-OIS-240M,0.01665916
SP-008,RATE-CAD-OIS-360M,0.01730047
SP-008,RATE-CAD-GOVT-001M,0.01588289
SP-008,RATE-CAD-GOVT-002M,0.01597210
SP-008,RATE-CAD-GOVT-003M,0.01603971
SP-008,RATE-CAD-GOVT-005M,0.01614508
SP-008,RATE-CAD-GOVT-007M,0.01622921
SP-008,RATE-CAD-GOVT-010M,0.01633370
SP-008,RATE-CAD-GOVT-015M,0.01647516
SP-008,RATE-CAD-GOVT-020M,0.01659283
SP-008,RATE-CAD-GOVT-030M,0.01678782
SP-008,RATE-CAD-GOVT-060M,0.01722065
SP-008,RATE-CAD-GOVT-090M,0.01754845
SP-008,RATE-CAD-GOVT-120M,0.01782292
SP-008,RATE-CAD-GOVT-180M,0.01828062
SP-008,RATE-CAD-GOVT-240M,0.01866456
SP-008,RATE-CAD-GOVT-360M,0.01930587
SP-008,RATE-CAD-SWAP-001M,0.01788829
SP-008,RATE-CAD-SWAP-002M,0.01797750
SP-008,RATE-CAD-SWAP-003M,0.01804511
SP-008,RATE-CAD-SWAP-005M,0.01815048
SP-008,RATE-CAD-SWAP-007M,0.01823461
SP-008,RATE-CAD-SWAP-010M,0.01833910
SP-008,RATE-CAD-SWAP-015M,0.01848056
SP-008,RATE-CAD-SWAP-020M,0.01859823
SP-008,RATE-CAD-SWAP-030M,0.01879322
SP-008,RATE-CAD-SWAP-060M,0.01922605
SP-008,RATE-CAD-SWAP-090M,0.01955385
SP-008,RATE-CAD-SWAP-120M,0.01982832
SP-008,RATE-CAD-SWAP-180M,0.02028602
SP-008,RATE-CAD-SWAP-240M,0.02066996
SP-008,RATE-CAD-SWAP-360M,0.02131127
SP-008,RATE-CAD-INFLATION-001M,0.01989369
SP-008,RATE-CAD-INFLATION-002M,0.01998290
SP-008,RATE-CAD-INFLATION-003M,0.02005051
SP-008,RATE-CAD-INFLATION-005M,0.02015588
SP-008,RATE-CAD-INFLATION-007M,0.02024001
SP-008,RATE-CAD-INFLATION-010M,0.02034450
SP-008,RATE-CAD-INFLATION-015M,0.02048596
SP-008,RATE-CAD-INFLATION-020M,0.02060363
SP-008,RATE-CAD-INFLATION-030M,0.02079862
SP-008,RATE-CAD-INFLATION-060M,0.02123145
SP-008,RATE-CAD-INFLATION-090M,0.02155925
SP-008,RATE-CAD-INFLATION-120M,0.02183372
SP-008,RATE-CAD-INFLATION-180M,0.02229142
SP-008,RATE-CAD-INFLATION-240M,0.02267536
SP-008,RATE-CAD-INFLATION-360M,0.02331667
SP-008,RATE-AUD-OIS-001M,0.01537749
SP-008,RATE-AUD-OIS-002M,0.01546670
SP-008,RATE-AUD-OIS-003M,0.01553431
SP-008,RATE-AUD-OIS-005M,0.01563968
SP-008,RATE-AUD-OIS-007M,0.01572381
SP-008,RATE-AUD-OIS-010M,0.01582830
SP-008,RATE-AUD-OIS-015M,0.01596976
SP-008,RATE-AUD-OIS-020M,0.01608743
SP-008,RATE-AUD-OIS-030M,0.01628242
SP-008,RATE-AUD-OIS-060M,0.01671525
SP-008,RATE-AUD-OIS-090M,0.01704305
SP-008,RATE-AUD-OIS-120M,0.01731752
SP-008,RATE-AUD-OIS-180M,0.01777522
SP-008,RATE-AUD-OIS-240M,0.01815916
SP-008,RATE-AUD-OIS-360M,0.01880047
SP-008,RATE-AUD-GOVT-001M,0.01738289
SP-008,RATE-AUD-GOVT-002M,0.01747210
SP-008,RATE-AUD-GOVT-003M,0.01753971
SP-008,RATE-AUD-GOVT-005M,0.01764508
SP-008,RATE-AUD-GOVT-007M,0.01772921
SP-008,RATE-AUD-GOVT-010M,0.01783370
SP-008,RATE-AUD-GOVT-015M,0.01797516
SP-008,RATE-AUD-GOVT-020M,0.01809283
SP-008,RATE-AUD-GOVT-030M,0.01828782
SP-008,RATE-AUD-GOVT-060M,0.01872065
SP-008,RATE-AUD-GOVT-090M,0.01904845
SP-008,RATE-AUD-GOVT-120M,0.01932292
SP-008,RATE-AUD-GOVT-180M,0.01978062
SP-008,RATE-AUD-GOVT-240M,0.02016456
SP-008,RATE-AUD-GOVT-360M,0.02080587
SP-008,RATE-AUD-SWAP-001M,0.01938829
SP-008,RATE-AUD-SWAP-002M,0.01947750
SP-008,RATE-AUD-SWAP-003M,0.01954511
SP-008,RATE-AUD-SWAP-005M,0.01965048
SP-008,RATE-AUD-SWAP-007M,0.01973461
SP-008,RATE-AUD-SWAP-010M,0.01983910
SP-008,RATE-AUD-SWAP-015M,0.01998056
SP-008,RATE-AUD-SWAP-020M,0.02009823
SP-008,RATE-AUD-SWAP-030M,0.02029322
SP-008,RATE-AUD-SWAP-060M,0.02072605
SP-008,RATE-AUD-SWAP-090M,0.02105385
SP-008,RATE-AUD-SWAP-120M,0.02132832
SP-008,RATE-AUD-SWAP-180M,0.02178602
SP-008,RATE-AUD-SWAP-240M,0.02216996
SP-008,RATE-AUD-SWAP-360M,0.02281127
SP-008,RATE-AUD-INFLATION-001M,0.02139369
SP-008,RATE-AUD-INFLATION-002M,0.02148290
SP-008,RATE-AUD-INFLATION-003M,0.02155051
SP-008,RATE-AUD-INFLATION-005M,0.02165588
SP-008,RATE-AUD-INFLATION-007M,0.02174001
SP-008,RATE-AUD-INFLATION-010M,0.02184450
SP-008,RATE-AUD-INFLATION-015M,0.02198596
SP-008,RATE-AUD-INFLATION-020M,0.02210363
SP-008,RATE-AUD-INFLATION-030M,0.02229862
SP-008,RATE-AUD-INFLATION-060M,0.02273145
SP-008,RATE-AUD-INFLATION-090M,0.02305925
SP-008,RATE-AUD-INFLATION-120M,0.02333372
SP-008,RATE-AUD-INFLATION-180M,0.02379142
SP-008,RATE-AUD-INFLATION-240M,0.02417536
SP-008,RATE-AUD-INFLATION-360M,0.02481667
SP-008,RATE-NZD-OIS-001M,0.01687749
SP-008,RATE-NZD-OIS-002M,0.01696670
SP-008,RATE-NZD-OIS-003M,0.01703431
SP-008,RATE-NZD-OIS-005M,0.01713968
SP-008,RATE-NZD-OIS-007M,0.01722381
SP-008,RATE-NZD-OIS-010M,0.01732830
SP-008,RATE-NZD-OIS-015M,0.01746976
SP-008,RATE-NZD-OIS-020M,0.01758743
SP-008,RATE-NZD-OIS-030M,0.01778242
SP-008,RATE-NZD-OIS-060M,0.01821525
SP-008,RATE-NZD-OIS-090M,0.01854305
SP-008,RATE-NZD-OIS-120M,0.01881752
SP-008,RATE-NZD-OIS-180M,0.01927522
SP-008,RATE-NZD-OIS-240M,0.01965916
SP-008,RATE-NZD-OIS-360M,0.02030047
SP-008,RATE-NZD-GOVT-001M,0.01888289
SP-008,RATE-NZD-GOVT-002M,0.01897210
SP-008,RATE-NZD-GOVT-003M,0.01903971
SP-008,RATE-NZD-GOVT-005M,0.01914508
SP-008,RATE-NZD-GOVT-007M,0.01922921
SP-008,RATE-NZD-GOVT-010M,0.01933370
SP-008,RATE-NZD-GOVT-015M,0.01947516
SP-008,RATE-NZD-GOVT-020M,0.01959283
SP-008,RATE-NZD-GOVT-030M,0.01978782
SP-008,RATE-NZD-GOVT-060M,0.02022065
SP-008,RATE-NZD-GOVT-090M,0.02054845
SP-008,RATE-NZD-GOVT-120M,0.02082292
SP-008,RATE-NZD-GOVT-180M,0.02128062
SP-008,RATE-NZD-GOVT-240M,0.02166456
SP-008,RATE-NZD-GOVT-360M,0.02230587
SP-008,RATE-NZD-SWAP-001M,0.02088829
SP-008,RATE-NZD-SWAP-002M,0.02097750
SP-008,RATE-NZD-SWAP-003M,0.02104511
SP-008,RATE-NZD-SWAP-005M,0.02115048
SP-008,RATE-NZD-SWAP-007M,0.02123461
SP-008,RATE-NZD-SWAP-010M,0.02133910
SP-008,RATE-NZD-SWAP-015M,0.02148056
SP-008,RATE-NZD-SWAP-020M,0.02159823
SP-008,RATE-NZD-SWAP-030M,0.02179322
SP-008,RATE-NZD-SWAP-060M,0.02222605
SP-008,RATE-NZD-SWAP-090M,0.02255385
SP-008,RATE-NZD-SWAP-120M,0.02282832
SP-008,RATE-NZD-SWAP-180M,0.02328602
SP-008,RATE-NZD-SWAP-240M,0.02366996
SP-008,RATE-NZD-SWAP-360M,0.02431127
SP-008,RATE-NZD-INFLATION-001M,0.02289369
SP-008,RATE-NZD-INFLATION-002M,0.02298290
SP-008,RATE-NZD-INFLATION-003M,0.02305051
SP-008,RATE-NZD-INFLATION-005M,0.02315588
SP-008,RATE-NZD-INFLATION-007M,0.02324001
SP-008,RATE-NZD-INFLATION-010M,0.02334450
SP-008,RATE-NZD-INFLATION-015M,0.02348596
SP-008,RATE-NZD-INFLATION-020M,0.02360363
SP-008,RATE-NZD-INFLATION-030M,0.02379862
SP-008,RATE-NZD-INFLATION-060M,0.02423145
SP-008,RATE-NZD-INFLATION-090M,0.02455925
SP-008,RATE-NZD-INFLATION-120M,0.02483372
SP-008,RATE-NZD-INFLATION-180M,0.02529142
SP-008,RATE-NZD-INFLATION-240M,0.02567536
SP-008,RATE-NZD-INFLATION-360M,0.02631667
SP-008,RATE-SEK-OIS-001M,0.01837749
SP-008,RATE-SEK-OIS-002M,0.01846670
SP-008,RATE-SEK-OIS-003M,0.01853431
SP-008,RATE-SEK-OIS-005M,0.01863968
SP-008,RATE-SEK-OIS-007M,0.01872381
SP-008,RATE-SEK-OIS-010M,0.01882830
SP-008,RATE-SEK-OIS-015M,0.01896976
SP-008,RATE-SEK-OIS-020M,0.01908743
SP-008,RATE-SEK-OIS-030M,0.01928242
SP-008,RATE-SEK-OIS-060M,0.01971525
SP-008,RATE-SEK-OIS-090M,0.02004305
SP-008,RATE-SEK-OIS-120M,0.02031752
SP-008,RATE-SEK-OIS-180M,0.02077522
SP-008,RATE-SEK-OIS-240M,0.02115916
SP-008,RATE-SEK-OIS-360M,0.02180047
SP-008,RATE-SEK-GOVT-001M,0.02038289
SP-008,RATE-SEK-GOVT-002M,0.02047210
SP-008,RATE-SEK-GOVT-003M,0.02053971
SP-008,RATE-SEK-GOVT-005M,0.02064508
SP-008,RATE-SEK-GOVT-007M,0.02072921
SP-008,RATE-SEK-GOVT-010M,0.02083370
SP-008,RATE-SEK-GOVT-015M,0.02097516
SP-008,RATE-SEK-GOVT-020M,0.02109283
SP-008,RATE-SEK-GOVT-030M,0.02128782
SP-008,RATE-SEK-GOVT-060M,0.02172065
SP-008,RATE-SEK-GOVT-090M,0.02204845
SP-008,RATE-SEK-GOVT-120M,0.02232292
SP-008,RATE-SEK-GOVT-180M,0.02278062
SP-008,RATE-SEK-GOVT-240M,0.02316456
SP-008,RATE-SEK-GOVT-360M,0.02380587
SP-008,RATE-SEK-SWAP-001M,0.02238829
SP-008,RATE-SEK-SWAP-002M,0.02247750
SP-008,RATE-SEK-SWAP-003M,0.02254511
SP-008,RATE-SEK-SWAP-005M,0.02265048
SP-008,RATE-SEK-SWAP-007M,0.02273461
SP-008,RATE-SEK-SWAP-010M,0.02283910
SP-008,RATE-SEK-SWAP-015M,0.02298056
SP-008,RATE-SEK-SWAP-020M,0.02309823
SP-008,RATE-SEK-SWAP-030M,0.02329322
SP-008,RATE-SEK-SWAP-060M,0.02372605
